PEER NGA STRONG MOTION DATABASE RECORD
FRIULI, ITALY 05/06/76 2000, TOLMEZZO, 270
ACCELERATION TIME HISTORY IN UNITS OF G
# 7269    0.0050    NPTS, DT
time	acc
0	0
0.005	7.66E-04
0.01	1.19E-03
0.015	1.76E-03
0.02	1.78E-03
0.025	1.77E-03
0.03	1.75E-03
0.035	1.73E-03
0.04	1.71E-03
0.045	1.70E-03
0.05	1.68E-03
0.055	1.67E-03
0.06	1.66E-03
0.065	1.65E-03
0.07	1.63E-03
0.075	1.62E-03
0.08	1.61E-03
0.085	1.59E-03
0.09	1.57E-03
0.095	1.55E-03
0.1	1.52E-03
0.105	1.50E-03
0.11	1.48E-03
0.115	1.47E-03
0.12	1.45E-03
0.125	1.44E-03
0.13	1.43E-03
0.135	1.43E-03
0.14	1.42E-03
0.145	1.42E-03
0.15	1.42E-03
0.155	1.42E-03
0.16	1.41E-03
0.165	1.40E-03
0.17	1.38E-03
0.175	1.35E-03
0.18	1.33E-03
0.185	1.30E-03
0.19	1.27E-03
0.195	1.25E-03
0.2	1.24E-03
0.205	1.23E-03
0.21	1.22E-03
0.215	1.19E-03
0.22	1.16E-03
0.225	1.12E-03
0.23	1.07E-03
0.235	1.02E-03
0.24	9.82E-04
0.245	9.53E-04
0.25	9.27E-04
0.255	8.96E-04
0.26	8.58E-04
0.265	8.16E-04
0.27	7.72E-04
0.275	7.32E-04
0.28	7.06E-04
0.285	7.03E-04
0.29	7.12E-04
0.295	7.22E-04
0.3	7.34E-04
0.305	7.49E-04
0.31	7.61E-04
0.315	7.67E-04
0.32	7.72E-04
0.325	7.82E-04
0.33	7.98E-04
0.335	8.16E-04
0.34	8.31E-04
0.345	8.52E-04
0.35	8.77E-04
0.355	8.98E-04
0.36	9.18E-04
0.365	9.34E-04
0.37	9.36E-04
0.375	9.05E-04
0.38	8.32E-04
0.385	7.23E-04
0.39	5.86E-04
0.395	4.26E-04
0.4	2.42E-04
0.405	4.77E-05
0.41	-1.30E-04
0.415	-2.79E-04
0.42	-3.95E-04
0.425	-4.74E-04
0.43	-5.16E-04
0.435	-5.12E-04
0.44	-4.55E-04
0.445	-3.62E-04
0.45	-2.64E-04
0.455	-1.83E-04
0.46	-1.39E-04
0.465	-1.61E-04
0.47	-2.57E-04
0.475	-3.97E-04
0.48	-5.46E-04
0.485	-6.86E-04
0.49	-8.18E-04
0.495	-9.47E-04
0.5	-1.06E-03
0.505	-1.14E-03
0.51	-1.17E-03
0.515	-1.16E-03
0.52	-1.07E-03
0.525	-9.17E-04
0.53	-7.31E-04
0.535	-5.50E-04
0.54	-4.30E-04
0.545	-3.88E-04
0.55	-3.93E-04
0.555	-3.96E-04
0.56	-3.83E-04
0.565	-3.59E-04
0.57	-3.54E-04
0.575	-4.05E-04
0.58	-5.33E-04
0.585	-7.40E-04
0.59	-9.80E-04
0.595	-1.18E-03
0.6	-1.27E-03
0.605	-1.21E-03
0.61	-1.01E-03
0.615	-7.26E-04
0.62	-4.14E-04
0.625	-7.35E-05
0.63	2.95E-04
0.635	6.65E-04
0.64	1.01E-03
0.645	1.30E-03
0.65	1.44E-03
0.655	1.40E-03
0.66	1.18E-03
0.665000000000001	8.31E-04
0.67	3.93E-04
0.675	-6.46E-05
0.68	-4.56E-04
0.685000000000001	-6.95E-04
0.690000000000001	-7.36E-04
0.695	-5.87E-04
0.7	-2.90E-04
0.705000000000001	1.03E-04
0.710000000000001	5.62E-04
0.715000000000001	1.08E-03
0.72	1.62E-03
0.725000000000001	2.19E-03
0.730000000000001	2.75E-03
0.735000000000001	3.24E-03
0.740000000000001	3.51E-03
0.745000000000001	3.50E-03
0.750000000000001	3.28E-03
0.755000000000001	2.97E-03
0.760000000000001	2.69E-03
0.765000000000001	2.50E-03
0.770000000000001	2.38E-03
0.775000000000001	2.22E-03
0.780000000000001	1.93E-03
0.785000000000001	1.46E-03
0.790000000000001	8.72E-04
0.795000000000001	2.80E-04
0.800000000000001	-1.69E-04
0.805000000000001	-3.94E-04
0.810000000000001	-3.88E-04
0.815000000000001	-2.37E-04
0.820000000000001	-8.57E-05
0.825000000000001	-6.71E-05
0.830000000000001	-2.70E-04
0.835000000000001	-6.99E-04
0.840000000000001	-1.27E-03
0.845000000000001	-1.87E-03
0.850000000000001	-2.42E-03
0.855000000000001	-2.74E-03
0.860000000000001	-2.58E-03
0.865000000000001	-1.79E-03
0.870000000000001	-2.47E-04
0.875000000000001	2.17E-03
0.880000000000001	5.31E-03
0.885000000000001	8.54E-03
0.890000000000001	1.11E-02
0.895000000000001	1.28E-02
0.900000000000001	1.36E-02
0.905000000000001	1.37E-02
0.910000000000001	1.33E-02
0.915000000000001	1.24E-02
0.920000000000001	1.08E-02
0.925000000000001	8.82E-03
0.930000000000001	6.63E-03
0.935000000000001	4.41E-03
0.940000000000001	2.38E-03
0.945000000000001	6.31E-04
0.950000000000001	-8.89E-04
0.955000000000001	-2.37E-03
0.960000000000001	-3.94E-03
0.965000000000001	-5.51E-03
0.970000000000001	-6.91E-03
0.975000000000001	-8.00E-03
0.980000000000001	-8.71E-03
0.985000000000001	-8.92E-03
0.990000000000001	-8.59E-03
0.995000000000001	-7.76E-03
1	-6.62E-03
1.005	-5.37E-03
1.01	-4.23E-03
1.015	-3.48E-03
1.02	-3.28E-03
1.025	-3.56E-03
1.03	-4.11E-03
1.035	-4.67E-03
1.04	-5.00E-03
1.045	-4.97E-03
1.05	-4.48E-03
1.055	-3.64E-03
1.06	-2.63E-03
1.065	-1.66E-03
1.07	-9.15E-04
1.075	-6.10E-04
1.08	-8.71E-04
1.085	-1.65E-03
1.09	-2.79E-03
1.095	-4.13E-03
1.1	-5.53E-03
1.105	-6.83E-03
1.11	-7.89E-03
1.115	-8.72E-03
1.12	-9.26E-03
