PEER NGA STRONG MOTION DATABASE RECORD
FRIULI, ITALY 05/06/76 2000, TOLMEZZO, 000                                      
ACCELERATION TIME HISTORY IN UNITS OF G
# 7269    0.0050    NPTS, DT
time	acc
0	0
0.005	-9.43E-04
0.01	-1.42E-03
0.015	-1.99E-03
0.02	-1.90E-03
0.025	-1.86E-03
0.03	-1.83E-03
0.035	-1.79E-03
0.04	-1.75E-03
0.045	-1.71E-03
0.05	-1.67E-03
0.055	-1.64E-03
0.06	-1.61E-03
0.065	-1.58E-03
0.07	-1.55E-03
0.075	-1.54E-03
0.08	-1.52E-03
0.085	-1.51E-03
0.09	-1.50E-03
0.095	-1.50E-03
0.1	-1.49E-03
0.105	-1.48E-03
0.11	-1.47E-03
0.115	-1.46E-03
0.12	-1.46E-03
0.125	-1.46E-03
0.13	-1.45E-03
0.135	-1.45E-03
0.14	-1.44E-03
0.145	-1.42E-03
0.15	-1.40E-03
0.155	-1.36E-03
0.16	-1.32E-03
0.165	-1.27E-03
0.17	-1.21E-03
0.175	-1.13E-03
0.18	-1.05E-03
0.185	-9.70E-04
0.19	-9.03E-04
0.195	-8.47E-04
0.2	-8.00E-04
0.205	-7.62E-04
0.21	-7.30E-04
0.215	-7.05E-04
0.22	-6.90E-04
0.225	-6.89E-04
0.23	-7.06E-04
0.235	-7.42E-04
0.24	-7.99E-04
0.245	-8.80E-04
0.25	-9.80E-04
0.255	-1.09E-03
0.26	-1.18E-03
0.265	-1.25E-03
0.27	-1.30E-03
0.275	-1.32E-03
0.28	-1.34E-03
0.285	-1.35E-03
0.29	-1.36E-03
0.295	-1.34E-03
0.3	-1.30E-03
0.305	-1.21E-03
0.31	-1.07E-03
0.315	-8.59E-04
0.32	-6.11E-04
0.325	-3.52E-04
0.33	-1.18E-04
0.335	6.91E-05
0.34	2.11E-04
0.345	3.20E-04
0.35	4.00E-04
0.355	4.55E-04
0.36	4.86E-04
0.365	4.86E-04
0.37	4.37E-04
0.375	3.34E-04
0.38	1.87E-04
0.385	6.28E-07
0.39	-2.20E-04
0.395	-4.54E-04
0.4	-6.82E-04
0.405	-9.04E-04
0.41	-1.13E-03
0.415	-1.38E-03
0.42	-1.64E-03
0.425	-1.90E-03
0.43	-2.15E-03
0.435	-2.41E-03
0.44	-2.70E-03
0.445	-3.00E-03
0.45	-3.26E-03
0.455	-3.44E-03
0.46	-3.46E-03
0.465	-3.29E-03
0.47	-2.85E-03
0.475	-2.11E-03
0.48	-1.15E-03
0.485	-8.61E-05
0.49	9.16E-04
0.495	1.78E-03
0.5	2.53E-03
0.505	3.23E-03
0.51	3.87E-03
0.515	4.40E-03
0.52	4.77E-03
0.525	4.96E-03
0.53	4.94E-03
0.535	4.71E-03
0.54	4.31E-03
0.545	3.77E-03
0.55	3.07E-03
0.555	2.13E-03
0.56	9.55E-04
0.565	-2.95E-04
0.57	-1.33E-03
0.575	-1.99E-03
0.58	-2.33E-03
0.585	-2.49E-03
0.59	-2.55E-03
0.595	-2.53E-03
0.6	-2.42E-03
0.605	-2.22E-03
0.61	-1.99E-03
0.615	-1.82E-03
0.62	-1.72E-03
0.625	-1.64E-03
0.63	-1.50E-03
0.635	-1.24E-03
0.64	-7.76E-04
0.645	-8.45E-05
0.65	8.30E-04
0.655	1.87E-03
0.66	2.83E-03
0.665000000000001	3.55E-03
0.67	3.91E-03
0.675	3.96E-03
0.68	3.77E-03
0.685000000000001	3.41E-03
0.690000000000001	2.98E-03
0.695	2.51E-03
0.7	1.98E-03
0.705000000000001	1.34E-03
0.710000000000001	5.33E-04
0.715000000000001	-4.08E-04
0.72	-1.39E-03
0.725000000000001	-2.33E-03
0.730000000000001	-3.10E-03
0.735000000000001	-3.62E-03
0.740000000000001	-3.88E-03
0.745000000000001	-3.87E-03
0.750000000000001	-3.51E-03
0.755000000000001	-2.67E-03
0.760000000000001	-1.12E-03
0.765000000000001	1.26E-03
0.770000000000001	4.07E-03
0.775000000000001	6.44E-03
0.780000000000001	7.78E-03
0.785000000000001	8.12E-03
0.790000000000001	7.82E-03
0.795000000000001	7.28E-03
0.800000000000001	6.78E-03
0.805000000000001	6.40E-03
0.810000000000001	6.08E-03
0.815000000000001	5.69E-03
0.820000000000001	5.06E-03
0.825000000000001	4.06E-03
0.830000000000001	2.66E-03
0.835000000000001	1.01E-03
0.840000000000001	-5.30E-04
0.845000000000001	-1.62E-03
0.850000000000001	-2.15E-03
0.855000000000001	-2.19E-03
0.860000000000001	-1.90E-03
0.865000000000001	-1.43E-03
0.870000000000001	-9.62E-04
0.875000000000001	-6.78E-04
0.880000000000001	-6.97E-04
0.885000000000001	-1.03E-03
0.890000000000001	-1.60E-03
0.895000000000001	-2.25E-03
0.900000000000001	-2.78E-03
0.905000000000001	-3.00E-03
0.910000000000001	-2.78E-03
0.915000000000001	-1.94E-03
0.920000000000001	-3.99E-04
0.925000000000001	1.74E-03
0.930000000000001	4.09E-03
0.935000000000001	6.01E-03
0.940000000000001	6.95E-03
0.945000000000001	6.55E-03
0.950000000000001	4.59E-03
0.955000000000001	1.14E-03
0.960000000000001	-3.04E-03
0.965000000000001	-6.72E-03
0.970000000000001	-9.03E-03
0.975000000000001	-1.01E-02
0.980000000000001	-1.05E-02
0.985000000000001	-1.10E-02
0.990000000000001	-1.17E-02
0.995000000000001	-1.26E-02
1	-1.34E-02
1.005	-1.41E-02
1.01	-1.45E-02
1.015	-1.45E-02
1.02	-1.34E-02
1.025	-1.03E-02
1.03	-4.82E-03
1.035	2.05E-03
1.04	9.12E-03
1.045	1.58E-02
1.05	2.17E-02
1.055	2.62E-02
1.06	2.88E-02
1.065	2.96E-02
1.07	2.91E-02
1.075	2.76E-02
1.08	2.56E-02
1.085	2.35E-02
1.09	2.14E-02
1.095	1.91E-02
1.1	1.59E-02
1.105	1.10E-02
1.11	4.85E-03
1.115	-9.42E-04
1.12	-4.93E-03
1.125	-6.95E-03
1.13	-7.83E-03
1.135	-8.35E-03
1.14	-8.76E-03
1.145	-8.92E-03
1.15	-8.69E-03
1.155	-8.08E-03
1.16	-7.25E-03
1.165	-6.40E-03
1.17	-5.54E-03
1.175	-4.55E-03
1.18	-3.35E-03
1.185	-2.11E-03
1.19	-1.08E-03
1.195	-5.31E-04
1.2	-5.96E-04
1.205	-1.22E-03
1.21	-2.28E-03
1.215	-3.57E-03
1.22	-4.77E-03
1.225	-5.49E-03
1.23	-5.37E-03
1.235	-4.27E-03
1.24	-2.24E-03
1.245	7.80E-04
1.25	5.04E-03
1.255	1.06E-02
1.26	1.67E-02
1.265	2.17E-02
1.27	2.41E-02
1.27499999999999	2.27E-02
1.27999999999999	1.68E-02
1.28499999999999	7.52E-03
1.28999999999999	-1.88E-03
1.29499999999999	-7.98E-03
